thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
50.21,45.65,9.43,43.83,1.86,65.43,49.28,36.96,6.7,9.68,18.89,14.17,8.92,-7.39,1.8,1.35,-21.83,1.07,0.38,0.28
50.5,45.8,9.24,43.13,1.85,65.29,49.2,36.9,6.58,10.11,19.03,14.27,8.87,-7.18,1.8,1.35,-21.58,1.44,0.38,0.28
50.63,45.58,8.89,42.67,1.84,65.47,49.03,36.78,6.52,10.69,19.11,14.33,8.77,-6.72,1.89,1.41,-21.52,1.88,0.38,0.28
50.45,44.54,7.94,41.08,1.88,65.3,48.5,36.38,6.61,10.67,19.15,14.36,8.41,-5.07,1.9,1.42,-21.82,2.55,0.38,0.28
50.5,43.49,7.95,40.19,1.94,64.84,48.18,36.13,6.6,11.2,19.16,14.37,7.62,-1.44,1.87,1.4,-21.73,5.71,0.37,0.28
50.84,43.52,8.09,40.07,1.95,65.07,48.19,36.14,6.62,11.53,19.21,14.41,7.62,-1.43,1.24,0.93,-21.88,6.13,0.36,0.27
50.93,43.32,8.26,40.09,1.93,65.44,48.34,36.26,6.6,11.86,19.63,14.72,7.65,-1.58,0.99,0.74,-22.03,5.8,0.34,0.25
50.93,43.07,8.62,40.8,1.92,65.43,48.54,36.41,6.49,12.34,19.69,14.77,7.57,-1.23,0.96,0.72,-22.02,5.74,0.32,0.24
50.88,43.48,10.07,43.65,1.88,65.58,48.88,36.66,6.31,12.94,19.78,14.84,7.46,-0.72,0.94,0.71,-21.9,5.63,0.32,0.24
50.73,44.3,11.31,45.01,1.87,65.58,49.84,37.38,6.19,13.51,20.45,15.33,7.38,-0.34,0.95,0.71,-21.86,5.5,0.32,0.24
50.62,45.67,13.14,47.87,1.86,65.62,50.58,37.93,6.04,14.26,20.95,15.71,7.32,-0.07,0.94,0.71,-21.76,5.35,0.32,0.24
50.53,45.56,13.24,48.09,1.86,65.68,50.87,38.15,5.94,14.93,20.99,15.74,7.3,0,0.96,0.72,-21.63,5.36,0.34,0.25
50.63,45.82,13.08,47.96,1.87,65.56,50.82,38.11,5.93,15.08,20.99,15.74,7.34,-0.16,0.96,0.72,-21.55,5.24,0.34,0.25
50.73,45.75,12.79,47.79,1.9,65.41,50.66,37.99,6.01,14.81,20.98,15.74,7.42,-0.51,0.97,0.73,-21.51,5.02,0.34,0.25
50.89,44.87,11.4,46.03,1.93,65,49.68,37.26,6.04,14.69,20.83,15.62,7.48,-0.8,0.97,0.73,-21.57,4.7,0.34,0.25
50.9,44.58,10.62,45.14,1.96,64.58,49.59,37.19,6.09,14.43,20.75,15.56,7.52,-0.99,0.98,0.74,-21.62,4.59,0.34,0.25
50.63,43.77,9.62,43.26,1.99,64.17,49.18,36.89,6.12,14.29,20.46,15.34,7.54,-1.06,0.98,0.73,-21.57,4.64,0.34,0.25
50.27,42.43,8.63,41.26,2.05,63.72,48.98,36.73,6.17,14.25,20.18,15.14,7.59,-1.28,0.98,0.73,-21.58,4.77,0.32,0.24
50.03,42.02,8.36,38.72,2.09,63.46,48.77,36.58,6.24,14.16,19.8,14.85,7.7,-1.79,0.98,0.74,-21.77,4.99,0.32,0.24
50.05,41.54,8.36,37.25,2.11,63.62,48.31,36.23,6.26,14.49,19.35,14.51,7.82,-2.36,0.98,0.73,-22.36,7.2,0.3,0.22
50.04,40.96,8.39,35.96,2.14,63.7,47.91,35.93,6.29,14.77,18.49,13.86,8.01,-3.22,0.93,0.7,-22.68,9.38,0.28,0.21
50.56,40.57,8.39,34.32,2.11,64.53,46.88,35.16,6.43,14.49,16.74,12.55,8.62,-6.05,0.88,0.66,-24.34,11.44,0.28,0.21
51.54,41.15,8.39,32.33,1.99,67.29,43.33,32.5,6.71,14.59,13.85,10.39,9.62,-10.64,0.8,0.6,-27.55,6.29,0.22,0.16
