thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch,label
0.620255733712198,0.782421565296183,0.01723404255319149,0.011003757380568975,0.5758900687070581,1.0,0.6517987360233349,0.6518146467919637,0.5847086561131694,0.8962722852512155,0.841126070991432,0.8410574412532635,0.4694178334561532,0.80804505229284,0.5659590598938591,0.56572295247725,0.19662650602409615,0.8494783904619969,0.6185011302382194,0.6185949455135635,1
0.6409579866044245,0.3591573224600748,0.9644680851063828,0.5254965110037574,0.5449718925671455,0.33976696611224766,0.021268838113757897,0.021386908619572258,0.453014482990906,0.30578065910318747,0.007221542227662178,0.007343342036553524,0.655858511422255,0.3599356395816572,0.5621683093252465,0.5621840242669367,0.7595180722891566,0.515009580583351,0.5054773082942098,0.5054486436355206,0
0.5932616196468439,0.30592366066372184,0.7929787234042553,0.7359098228663447,0.42785758900687065,0.4468558213999822,0.01336898395721925,0.013447828904731042,0.40148198046480293,0.4299477759769494,0.00587515299877601,0.005874673629242819,0.505526897568165,0.3066773934030571,0.3032600454890071,0.30333670374115274,0.7310843373493975,0.37598467106663835,0.4872196139801773,0.48713192673313244,0
0.5120763141871321,0.6828632914259826,0.01723404255319149,0.0077831454643048845,0.5758900687070581,0.9588188205994841,0.43473505104521143,0.4347051198963059,0.5658470865611317,0.7823698901494688,0.7266829865361077,0.7268276762402087,0.470891672807664,0.6769106999195496,0.27065959059893885,0.2704752275025277,0.2910843373493974,0.6499893549073879,0.5543383759346202,0.5543705077672154,1
0.7026588187538054,0.36187563710499493,0.7859574468085105,0.7410091250670962,0.5596502186133666,0.5140087165347327,0.006562955760816724,0.006642903434867141,0.5139777702930279,0.43868179362506754,0.001835985312117503,0.00195822454308094,0.6175386882829771,0.20321802091713603,0.25208491281273737,0.2522750252780588,0.797590361445783,0.3225463061528635,0.40723352460441664,0.4071412010201716,0
0.5490156281713009,0.6221542643560992,0.012765957446808508,0.00322061191626409,0.5758900687070581,0.9557057724806546,0.7800194457948468,0.7799740764744005,0.5863927248231728,0.9320187286151629,0.9167686658506732,0.9167754569190599,0.4672070744288872,0.8423169750603379,0.56027293404094,0.5601617795753286,0.24915662650602388,0.7521822439855226,0.6186750130412101,0.6185949455135635,1
0.6537446722143291,0.8390531203986862,0.0053191489361702135,0.0010735373054213634,0.5758900687070581,1.0,0.9487117160913952,0.9486390149060273,0.5857190973391715,1.0,0.9785801713586291,0.9786227154046996,0.46573323507737663,0.9395012067578439,0.9313874147081123,0.9317492416582409,0.23277108433734917,0.6593570364062167,0.647017909928708,0.6471133781590541,1
0.5883905013192612,0.7203533809038397,0.01978723404255319,0.00885668276972625,0.5758900687070581,0.988170417148448,0.6507049100631987,0.6506804925469865,0.57999326372516,0.8607059247253737,0.8547123623011015,0.8547650130548302,0.4679439941046426,0.8186645213193886,0.5579984836997727,0.558139534883721,0.2154216867469878,0.7983819459229295,0.6176317162232655,0.6176675168096455,1
0.6257357418307286,0.7177483293691245,0.02425531914893617,0.016639828234031134,0.5758900687070581,1.0,0.7241127856101117,0.7240764744005184,0.5850454698551701,0.9205834683954619,0.863157894736842,0.8632506527415142,0.4701547531319086,0.7930812550281576,0.6110689916603489,0.6112234580384226,0.1889156626506021,0.8692782627208857,0.8012519561815336,0.8012984001854859,1
0.4763547797848589,0.41318382602786274,0.8127659574468085,0.7737520128824477,0.5924422236102436,0.37783509739393406,0.01349052017501215,0.013609850939727802,0.5405860559110811,0.3942913740320548,0.003794369645042839,0.0039164490861618795,0.3515106853352985,0.22236524537409497,0.3642911296436693,0.3640040444893833,0.6669879518072288,0.29444326165637635,0.44305338202051814,0.44307906329700897,0
0.5088289019687435,0.3488503794314192,0.9719148936170212,0.6044015029522276,0.5434103685196752,0.42711020190340654,0.021511910549343698,0.021548930654569025,0.4910744358369821,0.34359805510534847,0.007466340269277845,0.007506527415143603,0.1687546057479734,0.2048270313757039,0.5792266868840033,0.5793731041456018,0.6062650602409637,0.5752608047690015,0.49156668405494697,0.4915372130767448,0
